,subject_id,trial_no,item_id,importance,naturalness,force_cond,flavour_cond,item_no,item_type,exclude,list
1850,5589a309fdf99b7ae5007c33,27,happy22,4,6,filler,filler,22,filler,0,5
1865,5589a309fdf99b7ae5007c33,42,happy26,3,5,filler,filler,26,filler,0,5
1858,5589a309fdf99b7ae5007c33,35,happy30,4,5,filler,filler,30,filler,0,5
1825,5589a309fdf99b7ae5007c33,2,high_crucial31,6,6,filler,filler,31,filler,0,5
1860,5589a309fdf99b7ae5007c33,37,high_crucial39,6,6,filler,filler,39,filler,0,5
1824,5589a309fdf99b7ae5007c33,1,high_vital19,6,5,filler,filler,19,filler,0,5
1833,5589a309fdf99b7ae5007c33,10,high_vital23,6,5,filler,filler,23,filler,0,5
1841,5589a309fdf99b7ae5007c33,18,high_vital27,6,5,filler,filler,27,filler,0,5
1838,5589a309fdf99b7ae5007c33,15,high_vital35,6,5,filler,filler,35,filler,0,5
1845,5589a309fdf99b7ae5007c33,22,ip_circ15,6,6,ip,circ,15,content,0,5
1861,5589a309fdf99b7ae5007c33,38,ip_circ3,2,6,ip,circ,3,content,0,5
1849,5589a309fdf99b7ae5007c33,26,ip_circ9,5,5,ip,circ,9,content,0,5
1859,5589a309fdf99b7ae5007c33,36,ip_deontic11,6,6,ip,deontic,11,content,0,5
1827,5589a309fdf99b7ae5007c33,4,ip_deontic17,5,6,ip,deontic,17,content,0,5
1853,5589a309fdf99b7ae5007c33,30,ip_deontic5,6,6,ip,deontic,5,content,0,5
1852,5589a309fdf99b7ae5007c33,29,ip_epist10,2,4,ip,epist,10,content,0,5
1862,5589a309fdf99b7ae5007c33,39,ip_epist16,4,5,ip,epist,16,content,0,5
1848,5589a309fdf99b7ae5007c33,25,ip_epist4,2,4,ip,epist,4,content,0,5
1857,5589a309fdf99b7ae5007c33,34,low_clear20,1,6,filler,filler,20,filler,0,5
1863,5589a309fdf99b7ae5007c33,40,low_clear24,3,5,filler,filler,24,filler,0,5
1844,5589a309fdf99b7ae5007c33,21,low_clear28,2,5,filler,filler,28,filler,0,5
1851,5589a309fdf99b7ae5007c33,28,low_obvious32,2,5,filler,filler,32,filler,0,5
1842,5589a309fdf99b7ae5007c33,19,low_obvious36,2,5,filler,filler,36,filler,0,5
1855,5589a309fdf99b7ae5007c33,32,low_obvious40,1,5,filler,filler,40,filler,0,5
1828,5589a309fdf99b7ae5007c33,5,notcrucial21,3,4,filler,filler,21,filler,0,5
1843,5589a309fdf99b7ae5007c33,20,notcrucial25,2,3,filler,filler,25,filler,0,5
1837,5589a309fdf99b7ae5007c33,14,notcrucial29,3,3,filler,filler,29,filler,0,5
1854,5589a309fdf99b7ae5007c33,31,notcrucial37,3,4,filler,filler,37,filler,0,5
1840,5589a309fdf99b7ae5007c33,17,notgoing34,4,6,filler,filler,34,filler,0,5
1831,5589a309fdf99b7ae5007c33,8,notgoing38,2,6,filler,filler,38,filler,0,5
1836,5589a309fdf99b7ae5007c33,13,notgoing42,4,6,filler,filler,42,filler,0,5
1864,5589a309fdf99b7ae5007c33,41,notvital33,4,4,filler,filler,33,filler,0,5
1832,5589a309fdf99b7ae5007c33,9,notvital41,3,4,filler,filler,41,filler,0,5
1835,5589a309fdf99b7ae5007c33,12,p_circ12,3,3,p,circ,12,content,0,5
1839,5589a309fdf99b7ae5007c33,16,p_circ18,3,5,p,circ,18,content,0,5
1826,5589a309fdf99b7ae5007c33,3,p_circ6,3,6,p,circ,6,content,0,5
1829,5589a309fdf99b7ae5007c33,6,p_deontic14,4,4,p,deontic,14,content,0,5
1846,5589a309fdf99b7ae5007c33,23,p_deontic2,5,6,p,deontic,2,content,0,5
1834,5589a309fdf99b7ae5007c33,11,p_deontic8,3,4,p,deontic,8,content,0,5
1856,5589a309fdf99b7ae5007c33,33,p_epist1,3,6,p,epist,1,content,0,5
1830,5589a309fdf99b7ae5007c33,7,p_epist13,3,3,p,epist,13,content,0,5
1847,5589a309fdf99b7ae5007c33,24,p_epist7,3,5,p,epist,7,content,0,5
286,55ac22cafdf99b6de2fa7ee2,35,happy22,2,6,filler,filler,22,filler,0,0
283,55ac22cafdf99b6de2fa7ee2,32,happy26,2,6,filler,filler,26,filler,0,0
255,55ac22cafdf99b6de2fa7ee2,4,happy30,2,6,filler,filler,30,filler,0,0
263,55ac22cafdf99b6de2fa7ee2,12,high_crucial31,6,6,filler,filler,31,filler,0,0
272,55ac22cafdf99b6de2fa7ee2,21,high_crucial39,6,5,filler,filler,39,filler,0,0
256,55ac22cafdf99b6de2fa7ee2,5,high_vital19,6,6,filler,filler,19,filler,0,0
254,55ac22cafdf99b6de2fa7ee2,3,high_vital23,6,6,filler,filler,23,filler,0,0
266,55ac22cafdf99b6de2fa7ee2,15,high_vital27,6,5,filler,filler,27,filler,0,0
285,55ac22cafdf99b6de2fa7ee2,34,high_vital35,6,6,filler,filler,35,filler,0,0
284,55ac22cafdf99b6de2fa7ee2,33,ip_circ10,4,6,ip,circ,10,content,0,6
288,55ac22cafdf99b6de2fa7ee2,37,ip_circ16,5,6,ip,circ,16,content,0,6
291,55ac22cafdf99b6de2fa7ee2,40,ip_circ4,4,6,ip,circ,4,content,0,6
262,55ac22cafdf99b6de2fa7ee2,11,ip_deontic12,4,6,ip,deontic,12,content,0,6
271,55ac22cafdf99b6de2fa7ee2,20,ip_deontic18,2,6,ip,deontic,18,content,0,6
292,55ac22cafdf99b6de2fa7ee2,41,ip_deontic6,4,6,ip,deontic,6,content,0,6
290,55ac22cafdf99b6de2fa7ee2,39,ip_epist11,0,5,ip,epist,11,content,0,6
258,55ac22cafdf99b6de2fa7ee2,7,ip_epist17,3,5,ip,epist,17,content,0,6
277,55ac22cafdf99b6de2fa7ee2,26,ip_epist5,0,5,ip,epist,5,content,0,6
279,55ac22cafdf99b6de2fa7ee2,28,low_clear20,0,5,filler,filler,20,filler,0,0
287,55ac22cafdf99b6de2fa7ee2,36,low_clear24,0,6,filler,filler,24,filler,0,0
257,55ac22cafdf99b6de2fa7ee2,6,low_clear28,0,6,filler,filler,28,filler,0,0
276,55ac22cafdf99b6de2fa7ee2,25,low_obvious32,0,6,filler,filler,32,filler,0,0
260,55ac22cafdf99b6de2fa7ee2,9,low_obvious36,0,5,filler,filler,36,filler,0,0
268,55ac22cafdf99b6de2fa7ee2,17,low_obvious40,1,5,filler,filler,40,filler,0,0
273,55ac22cafdf99b6de2fa7ee2,22,notcrucial21,5,5,filler,filler,21,filler,0,0
267,55ac22cafdf99b6de2fa7ee2,16,notcrucial25,1,4,filler,filler,25,filler,0,0
259,55ac22cafdf99b6de2fa7ee2,8,notcrucial29,2,4,filler,filler,29,filler,0,0
275,55ac22cafdf99b6de2fa7ee2,24,notcrucial37,3,4,filler,filler,37,filler,0,0
274,55ac22cafdf99b6de2fa7ee2,23,notgoing34,1,6,filler,filler,34,filler,0,0
293,55ac22cafdf99b6de2fa7ee2,42,notgoing38,2,6,filler,filler,38,filler,0,0
270,55ac22cafdf99b6de2fa7ee2,19,notgoing42,1,6,filler,filler,42,filler,0,0
278,55ac22cafdf99b6de2fa7ee2,27,notvital33,4,5,filler,filler,33,filler,0,0
280,55ac22cafdf99b6de2fa7ee2,29,notvital41,1,5,filler,filler,41,filler,0,0
261,55ac22cafdf99b6de2fa7ee2,10,p_circ1,1,6,p,circ,1,content,0,6
252,55ac22cafdf99b6de2fa7ee2,1,p_circ13,1,5,p,circ,13,content,0,6
264,55ac22cafdf99b6de2fa7ee2,13,p_circ7,2,6,p,circ,7,content,0,6
289,55ac22cafdf99b6de2fa7ee2,38,p_deontic15,4,6,p,deontic,15,content,0,6
281,55ac22cafdf99b6de2fa7ee2,30,p_deontic3,1,6,p,deontic,3,content,0,6
265,55ac22cafdf99b6de2fa7ee2,14,p_deontic9,3,5,p,deontic,9,content,0,6
